model_id,unit_cost,avg_latency_ms,skill_qa,skill_math,skill_code,skill_summary,skill_translation,skill_extraction
Model1,1.00,680,0.80,0.45,0.45,0.92,0.70,0.94
Model2,1.20,740,0.82,0.50,0.48,0.78,0.94,0.78
Model3,1.55,820,0.78,0.55,0.91,0.72,0.68,0.90
Model4,1.90,900,0.83,0.90,0.72,0.68,0.62,0.70
Model5,2.30,960,0.90,0.78,0.74,0.88,0.86,0.84
Model6,2.90,1030,0.87,0.83,0.93,0.74,0.70,0.82
Model7,3.70,1140,0.91,0.95,0.88,0.80,0.75,0.80
Model8,4.50,1250,0.94,0.86,0.80,0.93,0.91,0.89
Model9,5.80,1380,0.96,0.92,0.91,0.95,0.93,0.94
Model10,7.20,1540,0.98,0.97,0.96,0.97,0.95,0.96
