query,model,quality_score,latency,cost
为什么大模型路由在实际系统中重要？请用通俗语言回答。 要求包含2个要点，控制在80字以内。,Model1,0.8871,579.85,1.2229
为什么大模型路由在实际系统中重要？请用通俗语言回答。 要求包含2个要点，控制在80字以内。,Model2,0.8983,598.59,1.4627
为什么大模型路由在实际系统中重要？请用通俗语言回答。 要求包含2个要点，控制在80字以内。,Model3,0.8852,753.82,1.9028
为什么大模型路由在实际系统中重要？请用通俗语言回答。 要求包含2个要点，控制在80字以内。,Model4,0.9080,774.51,2.3620
为什么大模型路由在实际系统中重要？请用通俗语言回答。 要求包含2个要点，控制在80字以内。,Model5,0.9219,859.62,2.6754
为什么大模型路由在实际系统中重要？请用通俗语言回答。 要求包含2个要点，控制在80字以内。,Model6,0.9214,885.04,3.4797
为什么大模型路由在实际系统中重要？请用通俗语言回答。 要求包含2个要点，控制在80字以内。,Model7,0.9310,893.79,4.4950
为什么大模型路由在实际系统中重要？请用通俗语言回答。 要求包含2个要点，控制在80字以内。,Model8,0.9402,1102.56,5.5004
为什么大模型路由在实际系统中重要？请用通俗语言回答。 要求包含2个要点，控制在80字以内。,Model9,0.9483,1181.20,6.8414
为什么大模型路由在实际系统中重要？请用通俗语言回答。 要求包含2个要点，控制在80字以内。,Model10,0.9532,1355.30,8.4603
"已知一组数据为 8,68,120,3，计算平均值并说明步骤。 要求包含3个要点，控制在97字以内。",Model1,0.5937,719.35,1.4316
"已知一组数据为 8,68,120,3，计算平均值并说明步骤。 要求包含3个要点，控制在97字以内。",Model2,0.6491,788.78,1.7446
"已知一组数据为 8,68,120,3，计算平均值并说明步骤。 要求包含3个要点，控制在97字以内。",Model3,0.6867,803.30,2.1224
"已知一组数据为 8,68,120,3，计算平均值并说明步骤。 要求包含3个要点，控制在97字以内。",Model4,0.8702,1039.73,2.7247
"已知一组数据为 8,68,120,3，计算平均值并说明步骤。 要求包含3个要点，控制在97字以内。",Model5,0.8289,983.06,3.3962
"已知一组数据为 8,68,120,3，计算平均值并说明步骤。 要求包含3个要点，控制在97字以内。",Model6,0.8575,1098.48,4.2483
"已知一组数据为 8,68,120,3，计算平均值并说明步骤。 要求包含3个要点，控制在97字以内。",Model7,0.9019,1270.68,5.5523
"已知一组数据为 8,68,120,3，计算平均值并说明步骤。 要求包含3个要点，控制在97字以内。",Model8,0.8783,1253.48,6.2676
"已知一组数据为 8,68,120,3，计算平均值并说明步骤。 要求包含3个要点，控制在97字以内。",Model9,0.9017,1336.66,7.9896
"已知一组数据为 8,68,120,3，计算平均值并说明步骤。 要求包含3个要点，控制在97字以内。",Model10,0.9167,1767.83,10.1012
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=6 ORDER BY created_at DESC; 要求包含4个要点，控制在114字以内。,Model1,0.4909,768.28,1.8827
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=6 ORDER BY created_at DESC; 要求包含4个要点，控制在114字以内。,Model2,0.5265,965.41,2.1337
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=6 ORDER BY created_at DESC; 要求包含4个要点，控制在114字以内。,Model3,0.8258,1046.52,2.6086
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=6 ORDER BY created_at DESC; 要求包含4个要点，控制在114字以内。,Model4,0.7190,1129.84,3.4151
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=6 ORDER BY created_at DESC; 要求包含4个要点，控制在114字以内。,Model5,0.7421,1147.72,4.0203
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=6 ORDER BY created_at DESC; 要求包含4个要点，控制在114字以内。,Model6,0.8462,1188.21,5.2485
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=6 ORDER BY created_at DESC; 要求包含4个要点，控制在114字以内。,Model7,0.8242,1356.24,6.7253
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=6 ORDER BY created_at DESC; 要求包含4个要点，控制在114字以内。,Model8,0.7979,1573.04,7.8448
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=6 ORDER BY created_at DESC; 要求包含4个要点，控制在114字以内。,Model9,0.8478,1603.08,10.5190
分析下面 SQL 的性能问题并给出索引建议：SELECT * FROM orders WHERE user_id=6 ORDER BY created_at DESC; 要求包含4个要点，控制在114字以内。,Model10,0.8723,1834.51,12.2479
总结以下会议纪要，保留结论、负责人和下一步动作。 要求包含5个要点，控制在131字以内。,Model1,0.9088,616.03,1.5341
